Record Type 1,Customer Number,Delivery Address Number,Invoice Number,Grand Total Value,,,Nett Value,,Currency Code,,Sub Total2,Total VAT Value,VAT Number,Sub Total3,,,,,,,,
Record Type 2,Customer Number,Delivery Address Number,Invoice Number,Customer Order Number,Supplied Part Number,Pick Quantity,Nett Value,User Text,Currency Code,Order Type,Exchange Value,Programming Charge,Tarrif Code,Country of Origin,HU,ECCN US,ECCN UK,Customer Part Number,Part Description,UOI(Unit of Issue),Net Weight,CPC Code
Record Type 3,Customer Number,,Invoice Number,OTHERS or CAR CHG,,,Nett Value,,,,,,,,,,,,,,,
"1","57420","57420001","90222105","81897.71","0","0","80568.30","0","EUR","0","80568.30","0","BE0404125358","80568.30",,,,,,,,
"2","57420","57420001","90222105","4500104623","3117C114","1.000","174.78","0","EUR","Standard Order","0","0","8483908990","BE","00000000004401752981","0","0","0","GEAR","1.000","1.025 KG","3171000"
"2","57420","57420001","90222105","4500108453TVH","3117C114","1.000","174.78","0","EUR","Standard Order","0","0","8483908990","BE","00000000004401752981","0","0","0","GEAR","1.000","1.025 KG","3171000"
"2","57420","57420001","90222105","4500113906TVH","37513041","3.000","493.92","0","EUR","Standard Order","0","0","8511900090","GB","00000000004401754260","EAR99","Not on Control List","0","SPACER","1.000","0.885 KG","1040000"
"2","57420","57420001","90222105","4500126241","T410794","7.000","6.79","0","EUR","Standard Order","0","0","7326909890","CN","00000000004401753355","EAR99","Not on Control List","0","CLIP","1.000","0.140 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","064210020","30.000","50.40","0","EUR","Standard Order","0","0","3923509000","JP","00000000004401753262","0","0","0","CAP","1.000","0.060 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","0826248","3.000","6.69","0","EUR","Standard Order","0","0","7318154290","GB","00000000004401753262","0","0","0","STUD","1.000","0.384 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","0826457I","2.000","5.26","0","EUR","Standard Order","0","0","7318154890","GB","00000000004401753355","0","0","0","STUD","1.000","0.060 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","110708501","15.000","396.30","0","EUR","Standard Order","0","0","8409990090","IN","00000000004401753861","EAR99","Not on Control List","0","SUMP","1.000","22.500 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","115176140","70.000","140.00","0","EUR","Standard Order","0","0","7318159589","JP","00000000004401754260","EAR99","Not on Control List","0","SCREW","1.000","2.800 KG","3171000"
"2","57420","57420001","90222105","4500127789TVH","131046410","2.000","41.78","0","EUR","Standard Order","0","0","7318158880","GB","00000000004401753355","EAR99","0","0","SCREW","1.000","0.040 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","135617110","2.000","42.60","0","EUR","Standard Order","0","0","8409990090","CN","00000000004401753262","EAR99","Not on Control List","0","EXHAUST MANIFOLD","1.000","2.820 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","135997000","50.000","251.50","0","EUR","Standard Order","0","0","8484900090","GB","00000000004401753862","EAR99","Not on Control List","0","GASKET","1.000","0.100 KG","1040000"
"2","57420","57420001","90222105","4500127789TVH","140517050","440.000","1078.00","0","EUR","Standard Order","0","0","8421230090","FR","00000000004401752998","EAR99","Not on Control List","0","OIL FILTER","1.000","130.240 KG","3171000"
